Item,Price,Link
Vibration Motor,$4,https://www.aliexpress.us/item/3256807364342330.html 
HX711 Amplifier,$2,https://www.aliexpress.us/item/3256804105432748.html 
1kg Load Cell,$4,https://www.aliexpress.us/item/3256804105432748.html
x2 TOF050C TOF Sensor,$6,https://www.aliexpress.us/item/3256805965091584.html
Ceramic Piezo Disk,$2,https://www.aliexpress.us/item/3256805863472019.html
Arduino Nano,$2,https://www.aliexpress.us/item/3256807289041722.html
Momentary Push Buttons,$3,https://www.aliexpress.us/item/3256808452988888.html
RFP30N06LE MOSFETs,$4,https://www.aliexpress.us/item/3256809747005336.html
Jumper Wires,$5,https://www.aliexpress.us/item/3256805770305412.html
10kOhm Resistors,$1,https://www.aliexpress.us/item/3256806240725825.html
USB C Cable,$4,https://www.aliexpress.us/item/3256807311849860.html
,,
Total:,$37,